Page,specific_name,name_fixed,lang_domain,access_type,access_origin,language,domain
Ледниковый_период:_Столкновение_неизбежно_ru.wikipedia.org_mobile-web_all-agents,Ледниковый_период:_Столкновение_неизбежно,Ледниковый_период:_Столкновение_неизбежно,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
イグノーベル賞_ja.wikipedia.org_all-access_spider,イグノーベル賞,イグノーベル賞,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
File:UK_passport_1924.JPG_commons.wikimedia.org_desktop_all-agents,File:UK_passport_1924.JPG,File:UK_passport_1924.JPG,commons.wikimedia.org,desktop,all-agents,commons,wikimedia.org
Extension:Maps_www.mediawiki.org_all-access_spider,Extension:Maps,Extension:Maps,www.mediawiki.org,all-access,spider,www,mediawiki.org
День_Петра_и_Павла_ru.wikipedia.org_all-access_spider,День_Петра_и_Павла,День_Петра_и_Павла,ru.wikipedia.org,all-access,spider,ru,wikipedia.org
小郷知子_ja.wikipedia.org_all-access_spider,小郷知子,小郷知子,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
インターステラー_ja.wikipedia.org_mobile-web_all-agents,インターステラー,インターステラー,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Один_дома_ru.wikipedia.org_all-access_spider,Один_дома,Один_дома,ru.wikipedia.org,all-access,spider,ru,wikipedia.org
村山聖_ja.wikipedia.org_mobile-web_all-agents,村山聖,村山聖,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Ben_Affleck_en.wikipedia.org_mobile-web_all-agents,Ben_Affleck,Ben_Affleck,en.wikipedia.org,mobile-web,all-agents,en,wikipedia.org
Георгиевская_ленточка_ru.wikipedia.org_desktop_all-agents,Георгиевская_ленточка,Георгиевская_ленточка,ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
瑪俐亞_zh.wikipedia.org_all-access_all-agents,瑪俐亞,瑪俐亞,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
10._Januar_de.wikipedia.org_desktop_all-agents,10._Januar,10._Januar,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
Зевс_ru.wikipedia.org_mobile-web_all-agents,Зевс,Зевс,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
Category:MediaWiki_configuration_settings_www.mediawiki.org_mobile-web_all-agents,Category:MediaWiki_configuration_settings,Category:MediaWiki_configuration_settings,www.mediawiki.org,mobile-web,all-agents,www,mediawiki.org
2015–16_Premier_League_en.wikipedia.org_desktop_all-agents,2015–16_Premier_League,2015–16_Premier_League,en.wikipedia.org,desktop,all-agents,en,wikipedia.org
API:Main_page/de_www.mediawiki.org_all-access_spider,API:Main_page/de,API:Main_page/de,www.mediawiki.org,all-access,spider,www,mediawiki.org
How_to_contribute/or_www.mediawiki.org_all-access_spider,How_to_contribute/or,How_to_contribute/or,www.mediawiki.org,all-access,spider,www,mediawiki.org
Violetta_(série_télévisée)_fr.wikipedia.org_desktop_all-agents,Violetta_(série_télévisée),Violetta_(série_télévisée),fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
Хурма_ru.wikipedia.org_all-access_all-agents,Хурма,Хурма,ru.wikipedia.org,all-access,all-agents,ru,wikipedia.org
Troubadour_en.wikipedia.org_all-access_all-agents,Troubadour,Troubadour,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
能世あんな_ja.wikipedia.org_all-access_all-agents,能世あんな,能世あんな,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
Ashton_Kutcher_es.wikipedia.org_all-access_spider,Ashton_Kutcher,Ashton_Kutcher,es.wikipedia.org,all-access,spider,es,wikipedia.org
堂本剛_ja.wikipedia.org_mobile-web_all-agents,堂本剛,堂本剛,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Tennis_at_the_2016_Summer_Olympics_–_Men's_Singles_en.wikipedia.org_all-access_all-agents,Tennis_at_the_2016_Summer_Olympics_–_Men's_Singles,Tennis_at_the_2016_Summer_Olympics_–_Men's_Singles,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Copa_Argentina_2015-16_es.wikipedia.org_desktop_all-agents,Copa_Argentina_2015-16,Copa_Argentina_2015-16,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
Olivier_de_Kersauson_fr.wikipedia.org_all-access_spider,Olivier_de_Kersauson,Olivier_de_Kersauson,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
范冰冰_zh.wikipedia.org_desktop_all-agents,范冰冰,范冰冰,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
Andrzej_Żuławski_fr.wikipedia.org_mobile-web_all-agents,Andrzej_Żuławski,Andrzej_Żuławski,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
超级碗_zh.wikipedia.org_mobile-web_all-agents,超级碗,超级碗,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
Ley_de_Ohm_es.wikipedia.org_all-access_all-agents,Ley_de_Ohm,Ley_de_Ohm,es.wikipedia.org,all-access,all-agents,es,wikipedia.org
"Моцарт,_Вольфганг_Амадей_ru.wikipedia.org_all-access_spider","Моцарт,_Вольфганг_Амадей","Моцарт,_Вольфганг_Амадей",ru.wikipedia.org,all-access,spider,ru,wikipedia.org
Extension:SphinxSearch_www.mediawiki.org_all-access_all-agents,Extension:SphinxSearch,Extension:SphinxSearch,www.mediawiki.org,all-access,all-agents,www,mediawiki.org
Thomas_Bach_de.wikipedia.org_mobile-web_all-agents,Thomas_Bach,Thomas_Bach,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
ぶりぶりざえもん_ja.wikipedia.org_mobile-web_all-agents,ぶりぶりざえもん,ぶりぶりざえもん,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Special:RecentChangesLinked/Help:Categories/nb_www.mediawiki.org_mobile-web_all-agents,Special:RecentChangesLinked/Help:Categories/nb,Special:RecentChangesLinked/Help:Categories/nb,www.mediawiki.org,mobile-web,all-agents,www,mediawiki.org
満島真之介_ja.wikipedia.org_desktop_all-agents,満島真之介,満島真之介,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
EnjoyPhoenix_fr.wikipedia.org_mobile-web_all-agents,EnjoyPhoenix,EnjoyPhoenix,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
特別:フィード項目/featured/20160806000000/ja_ja.wikipedia.org_desktop_all-agents,特別:フィード項目/featured/20160806000000/ja,特別:フィード項目/featured/20160806000000/ja,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
Charlize_Theron_fr.wikipedia.org_desktop_all-agents,Charlize_Theron,Charlize_Theron,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
Islam_fr.wikipedia.org_desktop_all-agents,Islam,Islam,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
Muhammad_Ali_de.wikipedia.org_all-access_spider,Muhammad_Ali,Muhammad_Ali,de.wikipedia.org,all-access,spider,de,wikipedia.org
Kabinett_Trump_de.wikipedia.org_desktop_all-agents,Kabinett_Trump,Kabinett_Trump,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
Charlie_Puth_fr.wikipedia.org_all-access_spider,Charlie_Puth,Charlie_Puth,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
魔兽系列_zh.wikipedia.org_all-access_all-agents,魔兽系列,魔兽系列,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
El_Señor_de_los_Anillos_es.wikipedia.org_mobile-web_all-agents,El_Señor_de_los_Anillos,El_Señor_de_los_Anillos,es.wikipedia.org,mobile-web,all-agents,es,wikipedia.org
"Кеннеди,_Жаклин_ru.wikipedia.org_mobile-web_all-agents","Кеннеди,_Жаклин","Кеннеди,_Жаклин",ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
井村雅代_ja.wikipedia.org_all-access_all-agents,井村雅代,井村雅代,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
"File:Berlin,_Kreuzberg,_Riemannstrasse_24-26,_Mietshaus.jpg_commons.wikimedia.org_all-access_all-agents","File:Berlin,_Kreuzberg,_Riemannstrasse_24-26,_Mietshaus.jpg","File:Berlin,_Kreuzberg,_Riemannstrasse_24-26,_Mietshaus.jpg",commons.wikimedia.org,all-access,all-agents,commons,wikimedia.org
Bomba_atómica_es.wikipedia.org_all-access_spider,Bomba_atómica,Bomba_atómica,es.wikipedia.org,all-access,spider,es,wikipedia.org
Jason_Statham_fr.wikipedia.org_all-access_all-agents,Jason_Statham,Jason_Statham,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
蒼き鋼のアルペジオ_ja.wikipedia.org_all-access_spider,蒼き鋼のアルペジオ,蒼き鋼のアルペジオ,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
ハリー・ポッターと死の秘宝_ja.wikipedia.org_all-access_spider,ハリー・ポッターと死の秘宝,ハリー・ポッターと死の秘宝,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
Special:MyLanguage/Manual:Installing_MediaWiki_www.mediawiki.org_desktop_all-agents,Special:MyLanguage/Manual:Installing_MediaWiki,Special:MyLanguage/Manual:Installing_MediaWiki,www.mediawiki.org,desktop,all-agents,www,mediawiki.org
Category:Dildos_commons.wikimedia.org_mobile-web_all-agents,Category:Dildos,Category:Dildos,commons.wikimedia.org,mobile-web,all-agents,commons,wikimedia.org
How_to_become_a_MediaWiki_hacker/zh_www.mediawiki.org_mobile-web_all-agents,How_to_become_a_MediaWiki_hacker/zh,How_to_become_a_MediaWiki_hacker/zh,www.mediawiki.org,mobile-web,all-agents,www,mediawiki.org
真由子_ja.wikipedia.org_all-access_all-agents,真由子,真由子,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
幸福來了_zh.wikipedia.org_all-access_all-agents,幸福來了,幸福來了,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
2._Juni_de.wikipedia.org_desktop_all-agents,2._Juni,2._Juni,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
Frank_Lebœuf_fr.wikipedia.org_mobile-web_all-agents,Frank_Lebœuf,Frank_Lebœuf,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
Sakshi_Malik_en.wikipedia.org_mobile-web_all-agents,Sakshi_Malik,Sakshi_Malik,en.wikipedia.org,mobile-web,all-agents,en,wikipedia.org
Christian_Lindner_de.wikipedia.org_all-access_all-agents,Christian_Lindner,Christian_Lindner,de.wikipedia.org,all-access,all-agents,de,wikipedia.org
サーキットブレーカー制度_ja.wikipedia.org_all-access_spider,サーキットブレーカー制度,サーキットブレーカー制度,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
Spezial:Buch_de.wikipedia.org_all-access_all-agents,Spezial:Buch,Spezial:Buch,de.wikipedia.org,all-access,all-agents,de,wikipedia.org
蕭正楠_zh.wikipedia.org_all-access_spider,蕭正楠,蕭正楠,zh.wikipedia.org,all-access,spider,zh,wikipedia.org
界面活性剤_ja.wikipedia.org_all-access_all-agents,界面活性剤,界面活性剤,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
Diego_Simeone_en.wikipedia.org_mobile-web_all-agents,Diego_Simeone,Diego_Simeone,en.wikipedia.org,mobile-web,all-agents,en,wikipedia.org
Tarantula_hawk_en.wikipedia.org_all-access_all-agents,Tarantula_hawk,Tarantula_hawk,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Мустафа_I_ru.wikipedia.org_mobile-web_all-agents,Мустафа_I,Мустафа_I,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
我不是潘金莲_zh.wikipedia.org_all-access_all-agents,我不是潘金莲,我不是潘金莲,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
File:Standard_World_Time_Zones.png_commons.wikimedia.org_mobile-web_all-agents,File:Standard_World_Time_Zones.png,File:Standard_World_Time_Zones.png,commons.wikimedia.org,mobile-web,all-agents,commons,wikimedia.org
Alois_Brunner_de.wikipedia.org_all-access_all-agents,Alois_Brunner,Alois_Brunner,de.wikipedia.org,all-access,all-agents,de,wikipedia.org
特別:フィード項目/featured/20160916000000/ja_ja.wikipedia.org_desktop_all-agents,特別:フィード項目/featured/20160916000000/ja,特別:フィード項目/featured/20160916000000/ja,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
吉本せい_ja.wikipedia.org_all-access_spider,吉本せい,吉本せい,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
ジャニーズWEST_ja.wikipedia.org_mobile-web_all-agents,ジャニーズWEST,ジャニーズWEST,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
File:Eva_Rinaldi_Arthur_Premier_(5621600417).jpg_commons.wikimedia.org_mobile-web_all-agents,File:Eva_Rinaldi_Arthur_Premier_(5621600417).jpg,File:Eva_Rinaldi_Arthur_Premier_(5621600417).jpg,commons.wikimedia.org,mobile-web,all-agents,commons,wikimedia.org
七草がゆ_ja.wikipedia.org_mobile-web_all-agents,七草がゆ,七草がゆ,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Kaaris_fr.wikipedia.org_desktop_all-agents,Kaaris,Kaaris,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
Rectas_paralelas_cortadas_por_una_secante_es.wikipedia.org_all-access_all-agents,Rectas_paralelas_cortadas_por_una_secante,Rectas_paralelas_cortadas_por_una_secante,es.wikipedia.org,all-access,all-agents,es,wikipedia.org
Game_of_Thrones_(season_7)_en.wikipedia.org_all-access_spider,Game_of_Thrones_(season_7),Game_of_Thrones_(season_7),en.wikipedia.org,all-access,spider,en,wikipedia.org
Olivia_de_Havilland_en.wikipedia.org_all-access_spider,Olivia_de_Havilland,Olivia_de_Havilland,en.wikipedia.org,all-access,spider,en,wikipedia.org
Bandera_del_Perú_es.wikipedia.org_all-access_spider,Bandera_del_Perú,Bandera_del_Perú,es.wikipedia.org,all-access,spider,es,wikipedia.org
User:Hedwig_in_Washington_commons.wikimedia.org_desktop_all-agents,User:Hedwig_in_Washington,User:Hedwig_in_Washington,commons.wikimedia.org,desktop,all-agents,commons,wikimedia.org
Dancing_with_the_Stars_(U.S._TV_series)_en.wikipedia.org_all-access_spider,Dancing_with_the_Stars_(U.S._TV_series),Dancing_with_the_Stars_(U.S._TV_series),en.wikipedia.org,all-access,spider,en,wikipedia.org
Rob_Ford_de.wikipedia.org_all-access_spider,Rob_Ford,Rob_Ford,de.wikipedia.org,all-access,spider,de,wikipedia.org
Project:About/fr_www.mediawiki.org_desktop_all-agents,Project:About/fr,Project:About/fr,www.mediawiki.org,desktop,all-agents,www,mediawiki.org
Mathias_Pogba_fr.wikipedia.org_all-access_all-agents,Mathias_Pogba,Mathias_Pogba,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
Audrey_Lamy_fr.wikipedia.org_mobile-web_all-agents,Audrey_Lamy,Audrey_Lamy,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
Vincent_Lagaf'_fr.wikipedia.org_mobile-web_all-agents,Vincent_Lagaf',Vincent_Lagaf',fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
Ciclo_del_carbono_es.wikipedia.org_desktop_all-agents,Ciclo_del_carbono,Ciclo_del_carbono,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
Malala_Yousafzai_es.wikipedia.org_desktop_all-agents,Malala_Yousafzai,Malala_Yousafzai,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
山海经之赤影传说_zh.wikipedia.org_all-access_all-agents,山海经之赤影传说,山海经之赤影传说,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
Bretagne_fr.wikipedia.org_all-access_spider,Bretagne,Bretagne,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
Hella_von_Sinnen_de.wikipedia.org_mobile-web_all-agents,Hella_von_Sinnen,Hella_von_Sinnen,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Çağatay_Ulusoy_es.wikipedia.org_all-access_spider,Çağatay_Ulusoy,Çağatay_Ulusoy,es.wikipedia.org,all-access,spider,es,wikipedia.org
"Левандовский,_Роберт_ru.wikipedia.org_all-access_spider","Левандовский,_Роберт","Левандовский,_Роберт",ru.wikipedia.org,all-access,spider,ru,wikipedia.org
Special:MyTalk_en.wikipedia.org_all-access_spider,Special:MyTalk,Special:MyTalk,en.wikipedia.org,all-access,spider,en,wikipedia.org
西川健太郎_ja.wikipedia.org_all-access_spider,西川健太郎,西川健太郎,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
Anexo:Voleibol_en_los_Juegos_Olímpicos_de_Río_de_Janeiro_2016_es.wikipedia.org_mobile-web_all-agents,Anexo:Voleibol_en_los_Juegos_Olímpicos_de_Río_de_Janeiro_2016,Anexo:Voleibol_en_los_Juegos_Olímpicos_de_Río_de_Janeiro_2016,es.wikipedia.org,mobile-web,all-agents,es,wikipedia.org
乔治·索罗斯_zh.wikipedia.org_desktop_all-agents,乔治·索罗斯,乔治·索罗斯,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
Raps_de.wikipedia.org_mobile-web_all-agents,Raps,Raps,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Крейсер_«Аврора»_ru.wikipedia.org_all-access_spider,Крейсер_«Аврора»,Крейсер_«Аврора»,ru.wikipedia.org,all-access,spider,ru,wikipedia.org
Nos_chers_voisins_fr.wikipedia.org_all-access_all-agents,Nos_chers_voisins,Nos_chers_voisins,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
Juan_Martín_del_Potro_en.wikipedia.org_all-access_spider,Juan_Martín_del_Potro,Juan_Martín_del_Potro,en.wikipedia.org,all-access,spider,en,wikipedia.org
Wikipedia:Portal_es.wikipedia.org_desktop_all-agents,Wikipedia:Portal,Wikipedia:Portal,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
Día_del_Idioma_es.wikipedia.org_desktop_all-agents,Día_del_Idioma,Día_del_Idioma,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
David_Suchet_fr.wikipedia.org_all-access_all-agents,David_Suchet,David_Suchet,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
List_of_Presidents_of_the_United_States_en.wikipedia.org_desktop_all-agents,List_of_Presidents_of_the_United_States,List_of_Presidents_of_the_United_States,en.wikipedia.org,desktop,all-agents,en,wikipedia.org
Афон_ru.wikipedia.org_mobile-web_all-agents,Афон,Афон,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
石知田_zh.wikipedia.org_mobile-web_all-agents,石知田,石知田,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
Declaración_Universal_de_los_Derechos_Humanos_es.wikipedia.org_desktop_all-agents,Declaración_Universal_de_los_Derechos_Humanos,Declaración_Universal_de_los_Derechos_Humanos,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
Список_султанов_Османской_империи_ru.wikipedia.org_mobile-web_all-agents,Список_султанов_Османской_империи,Список_султанов_Османской_империи,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
Orgullo_y_prejuicio_(novela)_es.wikipedia.org_all-access_spider,Orgullo_y_prejuicio_(novela),Orgullo_y_prejuicio_(novela),es.wikipedia.org,all-access,spider,es,wikipedia.org
Polinomio_es.wikipedia.org_all-access_spider,Polinomio,Polinomio,es.wikipedia.org,all-access,spider,es,wikipedia.org
Dreißigjähriger_Krieg_de.wikipedia.org_all-access_all-agents,Dreißigjähriger_Krieg,Dreißigjähriger_Krieg,de.wikipedia.org,all-access,all-agents,de,wikipedia.org
王俠_(演員)_zh.wikipedia.org_desktop_all-agents,王俠_(演員),王俠_(演員),zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
Nesselsucht_de.wikipedia.org_mobile-web_all-agents,Nesselsucht,Nesselsucht,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Лондон_ru.wikipedia.org_desktop_all-agents,Лондон,Лондон,ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
File:MUMOK_Vienna.jpg_commons.wikimedia.org_mobile-web_all-agents,File:MUMOK_Vienna.jpg,File:MUMOK_Vienna.jpg,commons.wikimedia.org,mobile-web,all-agents,commons,wikimedia.org
诺如病毒_zh.wikipedia.org_all-access_all-agents,诺如病毒,诺如病毒,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
Барокко_ru.wikipedia.org_mobile-web_all-agents,Барокко,Барокко,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
三少爺的劍_(2016年電影)_zh.wikipedia.org_mobile-web_all-agents,三少爺的劍_(2016年電影),三少爺的劍_(2016年電影),zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
Kate_Hudson_en.wikipedia.org_all-access_spider,Kate_Hudson,Kate_Hudson,en.wikipedia.org,all-access,spider,en,wikipedia.org
Mittelmeer_de.wikipedia.org_mobile-web_all-agents,Mittelmeer,Mittelmeer,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Opus_Dei_es.wikipedia.org_all-access_spider,Opus_Dei,Opus_Dei,es.wikipedia.org,all-access,spider,es,wikipedia.org
Help:Logging_in/bcc_www.mediawiki.org_all-access_all-agents,Help:Logging_in/bcc,Help:Logging_in/bcc,www.mediawiki.org,all-access,all-agents,www,mediawiki.org
Coupe_du_monde_de_football_fr.wikipedia.org_all-access_all-agents,Coupe_du_monde_de_football,Coupe_du_monde_de_football,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
Аварийная_посадка_A320_на_Гудзон_ru.wikipedia.org_mobile-web_all-agents,Аварийная_посадка_A320_на_Гудзон,Аварийная_посадка_A320_на_Гудзон,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
Death_Stranding_ru.wikipedia.org_desktop_all-agents,Death_Stranding,Death_Stranding,ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
二谷友里恵_ja.wikipedia.org_all-access_all-agents,二谷友里恵,二谷友里恵,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
"Бьёрндален,_Уле-Эйнар_ru.wikipedia.org_desktop_all-agents","Бьёрндален,_Уле-Эйнар","Бьёрндален,_Уле-Эйнар",ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
裴秀智_zh.wikipedia.org_all-access_spider,裴秀智,裴秀智,zh.wikipedia.org,all-access,spider,zh,wikipedia.org
Го_ru.wikipedia.org_all-access_all-agents,Го,Го,ru.wikipedia.org,all-access,all-agents,ru,wikipedia.org
Spezial:Letzte_Änderungen_de.wikipedia.org_all-access_all-agents,Spezial:Letzte_Änderungen,Spezial:Letzte_Änderungen,de.wikipedia.org,all-access,all-agents,de,wikipedia.org
